x     y     z      f
0.60000 0.10000 0.80000 0.14974
0.60000 0.10000 0.90000 0.00000
0.60000 0.20000 0.00000 -0.01466
0.60000 0.20000 0.10000 -0.01468
0.60000 0.20000 0.20000 -0.02085
0.60000 0.20000 0.30000 -0.02021
0.60000 0.20000 0.40000 -0.01177
0.60000 0.20000 0.50000 0.00117
0.60000 0.20000 0.60000 0.01364
0.60000 0.20000 0.70000 0.02072
0.60000 0.20000 0.80000 0.01823
0.60000 0.20000 0.90000 0.00000
0.60000 0.30000 0.00000 -0.00140
0.60000 0.30000 0.10000 -0.00140
0.60000 0.30000 0.20000 -0.00194
0.60000 0.30000 0.30000 -0.00187
0.60000 0.30000 0.40000 -0.00107
0.60000 0.30000 0.50000 0.00013
0.60000 0.30000 0.60000 0.00128
0.60000 0.30000 0.70000 0.00192
0.60000 0.30000 0.80000 0.00165
0.60000 0.30000 0.90000 0.00000
0.60000 0.40000 0.00000 -0.00011
0.60000 0.40000 0.10000 -0.00011
0.60000 0.40000 0.20000 -0.00015
0.60000 0.40000 0.30000 -0.00014
0.60000 0.40000 0.40000 -0.00008
0.60000 0.40000 0.50000 0.00001
0.60000 0.40000 0.60000 0.00010
0.60000 0.40000 0.70000 0.00014
0.60000 0.40000 0.80000 0.00012
0.60000 0.40000 0.90000 0.00000
0.60000 0.50000 0.00000 -0.00001
0.60000 0.50000 0.10000 -0.00001
0.60000 0.50000 0.20000 -0.00001
0.60000 0.50000 0.30000 -0.00001
0.60000 0.50000 0.40000 -0.00000
0.60000 0.50000 0.50000 0.00000
0.60000 0.50000 0.60000 0.00001
0.60000 0.50000 0.70000 0.00001
0.60000 0.50000 0.80000 0.00001
0.60000 0.50000 0.90000 0.00000
0.60000 0.60000 0.00000 -0.00000
0.60000 0.60000 0.10000 -0.00000
0.60000 0.60000 0.20000 -0.00000
0.60000 0.60000 0.30000 -0.00000
0.60000 0.60000 0.40000 -0.00000
0.60000 0.60000 0.50000 0.00000
0.60000 0.60000 0.60000 0.00000
0.60000 0.60000 0.70000 0.00000
0.60000 0.60000 0.80000 0.00000
0.60000 0.60000 0.90000 0.00000
0.60000 0.70000 0.00000 -0.00000
0.60000 0.70000 0.10000 -0.00000
0.60000 0.70000 0.20000 -0.00000
0.60000 0.70000 0.30000 -0.00000
0.60000 0.70000 0.40000 -0.00000
0.60000 0.70000 0.50000 0.00000
0.60000 0.70000 0.60000 0.00000
0.60000 0.70000 0.70000 0.00000
0.60000 0.70000 0.80000 0.00000
0.60000 0.70000 0.90000 0.00000
0.60000 0.80000 0.00000 -0.00000
0.60000 0.80000 0.10000 -0.00000
0.60000 0.80000 0.20000 -0.00000
